run_name,target,num_rows_before_exclusion,num_rows_after_exclusion,num_removed_rows,num_features,n_splits,oof_accuracy,oof_balanced_accuracy,oof_macro_f1
gt_basic,T,751,703,48,43,2,0.5,0.3801741068215231,0.38825166219556073
gt_basic,N,751,703,48,43,5,0.8705547652916074,0.8299000778288268,0.8585060572044676
gt_components,T,751,703,48,51,2,0.5028571428571429,0.3845391277664722,0.3925711621640937
gt_components,N,751,703,48,51,5,0.9132290184921764,0.8878401872913058,0.9079974825319661
gt_components_gland,T,751,703,48,92,2,0.5171428571428571,0.39622672007656734,0.40622611690893606
gt_components_gland,N,751,703,48,92,5,0.9004267425320057,0.8732457131380081,0.8950217439625997
gt_components_headneck,T,751,703,48,190,2,0.49857142857142855,0.3764105877371834,0.38403851041069503
gt_components_headneck,N,751,703,48,190,5,0.8961593172119487,0.8511727674424444,0.8861432793082579
gt_components_gland_headneck,T,751,703,48,231,2,0.49,0.36486674696257343,0.37463542900268115
gt_components_gland_headneck,N,751,703,48,231,5,0.8819345661450925,0.8301425083477694,0.8679268534839039
pred_components,T,48,41,7,51,3,0.4878048780487805,0.2648809523809524,0.23846153846153845
pred_components,N,48,41,7,51,2,0.5609756097560976,0.25125,0.21908602150537634
pred_oof_components,T,751,703,48,51,2,0.5357142857142857,0.403997024214598,0.4116729449622589
pred_oof_components,N,751,703,48,51,5,0.7453769559032717,0.5583115224322763,0.6059080468485922
pred_oof_components_headneck,T,751,703,48,190,2,0.5314285714285715,0.39950046961026375,0.40871694974306616
pred_oof_components_headneck,N,751,703,48,190,5,0.7411095305832148,0.5225390713263538,0.5786487730141541
