feature_table,feature_set,model,mode,n,balanced_accuracy,macro_recall,macro_f1,T1_recall,T2_recall,T3_recall,T4_recall,T4_precision,T4_f1,n_pred_T4,w_T1,w_T2,w_T3,w_T4,thr_ge_T2,thr_ge_T3,thr_ge_T4,source_file
pred_oof_headneck_hu_realgeom,baseline_plus_hu_geom,rf_leaf2,ordinal_threshold_tuned,745,0.5845011796093504,0.5845011796093504,0.5520284561518449,0.8203592814371258,0.4193548387096774,0.4230769230769231,0.6752136752136753,0.5486111111111112,0.6053639846743295,144,,,,,0.7,0.4499999999999999,0.35,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom,baseline_plus_hu,rf_leaf2,ordinal_threshold_tuned,745,0.5794569728556593,0.5794569728556593,0.535329288556234,0.7664670658682635,0.4408602150537634,0.3241758241758242,0.7863247863247863,0.4867724867724867,0.6013071895424836,189,,,,,0.6499999999999999,0.4499999999999999,0.3,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_final,baseline_plus_hu,rf_depth12_leaf1,tuned_posthoc_t3_to_t4,745,0.5791826485278292,0.5791826485278292,0.5623371206910084,0.6946107784431138,0.5268817204301075,0.4285714285714285,0.6666666666666666,0.527027027027027,0.5886792452830188,148,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_final/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom,baseline_plus_hu_geom,rf_subsample_leaf2,tuned_posthoc_t3_to_t4,745,0.5774737303132126,0.5774737303132126,0.5186857105483692,0.7844311377245509,0.3691756272401433,0.3186813186813186,0.8376068376068376,0.4516129032258064,0.5868263473053892,217,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom,baseline_plus_hu_geom,rf_subsample_leaf2,proba_weight_tuned,745,0.5759474787869611,0.5759474787869611,0.5199718390766458,0.7844311377245509,0.3691756272401433,0.3296703296703296,0.8205128205128205,0.4593301435406698,0.588957055214724,209,1.0,0.6,0.8999999999999999,1.4999999999999998,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom,baseline_plus_hu,rf_depth12_leaf1,tuned_posthoc_t3_to_t4,745,0.5757052596921247,0.5757052596921247,0.5460558703482055,0.6646706586826348,0.5197132616487455,0.3406593406593406,0.7777777777777778,0.4972677595628415,0.6066666666666667,183,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline_plus_hu,rf_leaf1,tuned_posthoc_t3_to_t4,745,0.5756849764962572,0.5756849764962572,0.5564297753362983,0.6526946107784432,0.5340501792114696,0.4065934065934066,0.7094017094017094,0.503030303030303,0.5886524822695035,165,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom,baseline_plus_hu,rf_leaf1,tuned_posthoc_t3_to_t4,745,0.5753643663871595,0.5753643663871595,0.5441998386202673,0.6407185628742516,0.5197132616487455,0.3461538461538461,0.7948717948717948,0.4744897959183674,0.5942492012779552,196,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom,baseline_plus_hu,rf_depth12_leaf1,proba_weight_tuned,745,0.574942133928999,0.574942133928999,0.5467118628776458,0.6646706586826348,0.5197132616487455,0.3461538461538461,0.7692307692307693,0.5027932960893855,0.6081081081081081,179,1.0,0.7,0.8999999999999999,1.2999999999999998,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom,baseline_plus_hu,rf_leaf1,proba_weight_tuned,745,0.5746012406240337,0.5746012406240337,0.5446469900662592,0.6407185628742516,0.5197132616487455,0.3516483516483517,0.7863247863247863,0.4766839378238341,0.5935483870967742,193,1.0,0.7,1.0,1.6999999999999995,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
